icao,iata,name,lat,long,country,alt,utcoffset,tzolson
KAVP,AVP,Wilkes Barre Scranton International Airport,41.3385009766,-75.7233963013,United States,962,-5,America/New_York
KBJI,BJI,Bemidji Regional Airport,47.50939941,-94.93370056,United States,1391,-6,America/Chicago
YTNG,THG,Thangool Airport,-24.4939002990723,150.57600402832,Australia,644,10,Australia/Brisbane
NSFI,FGI,Fagali'i Airport,-13.8486995697,-171.740005493,Samoa,131,13,Pacific/Apia
YBNA,BNK,Ballina Byron Gateway Airport,-28.8339004517,153.56199646,Australia,7,10,Australia/Sydney
KFAR,FAR,Hector International Airport,46.9207000732422,-96.815803527832,United States,902,-6,America/Chicago
KMKC,MKC,Charles B. Wheeler Downtown Airport,39.1231994628906,-94.5927963256836,United States,759,-6,America/Chicago
VDRK,RBE,Ratanakiri Airport,13.7299995422363,106.986999511719,Cambodia,0,7,Asia/Phnom_Penh
KGCC,GCC,Gillette Campbell County Airport,44.3488998413,-105.539001465,United States,4365,-7,America/Denver
UNTT,TOF,Bogashevo Airport,56.380298614502,85.208297729492,Russia,597,7,Asia/Krasnoyarsk
KNZJ,NZJ,El Toro Marine Corps Air Station,33.6761016845703,-117.731002807617,United States,383,-8,America/Los_Angeles
