tail_id,registration,company,make,model,variant,multipilot,multiengine,engineType,weightClass
155,HB-UHHT,Air Legacy,Boeing,720, ,1,1,3,1
156,HB-UHJR,Air Legacy,Boeing,727,100,1,1,3,1
157,HB-UHMZ,Air Legacy,Boeing,727,200,1,1,3,1
158,HB-UHWT,Air Legacy,Boeing,737,100,1,1,3,1
159,HB-UISN,Air Legacy,Boeing,737,200,1,1,3,1
160,HB-UKZR,Air Legacy,Boeing,737,300,1,1,3,1
161,HB-ULZD,Air Legacy,Boeing,737,400,1,1,3,1
162,HB-UMNN,Air Legacy,Boeing,737,500,1,1,3,1
163,HB-UMOG,Air Legacy,Boeing,737,600,1,1,3,1
164,HB-UMSZ,Air Legacy,Boeing,737,700,1,1,3,1
165,HB-UPVM,Air Legacy,Boeing,737,700ER,1,1,3,1
166,HB-UPZM,Air Legacy,Boeing,737,800,1,1,3,1
167,HB-UREO,Air Legacy,Boeing,737,900,1,1,3,1
168,HB-USYM,Air Legacy,Boeing,737,900ER,1,1,3,1
169,HB-UTCD,Air Legacy,Boeing,737,7,1,1,3,1
170,HB-UUUE,Air Legacy,Boeing,737,8,1,1,3,1
171,HB-UUVN,Air Legacy,Boeing,737,200,1,1,3,1
172,HB-UVAJ,Air Legacy,Boeing,737,9,1,1,3,1
173,HB-UVLR,Air Legacy,Boeing,737,10,1,1,3,1
174,HB-UVRB,Air Legacy,Boeing,747,100,1,1,3,2
175,HB-UXYZ,Air Legacy,Boeing,747,200,1,1,3,2
176,HB-UYAL,Air Legacy,Boeing,747,SP,1,1,3,2
177,HB-UYBP,Air Legacy,Boeing,747,300,1,1,3,2
178,HB-UZBA,Air Legacy,Boeing,747,400,1,1,3,2
179,HB-UZMR,Air Legacy,Boeing,747,8,1,1,3,2
180,HB-UZSQ,Air Legacy,Boeing,757,200,1,1,3,1
181,HB-UZWS,Air Legacy,Boeing,757,300,1,1,3,1
182,HB-VARS,Air Legacy,Boeing,767,200,1,1,3,2
183,HB-VASO,Air Legacy,Boeing,767,200ER,1,1,3,2
184,HB-VBNK,Air Legacy,Boeing,767,300,1,1,3,2
185,HB-VCWZ,Air Legacy,Boeing,767,300ER,1,1,3,2
186,HB-VDRJ,Air Legacy,Boeing,767,400ER,1,1,3,2
187,HB-VDRL,Air Legacy,Boeing,777,200,1,1,3,2
188,HB-VEXO,Air Legacy,Boeing,777,200ER,1,1,3,2
189,HB-VFKD,Air Legacy,Boeing,777,300,1,1,3,2
190,HB-VGLH,Air Legacy,Boeing,777,8,1,1,3,2
191,HB-VHYS,Air Legacy,Boeing,777,9,1,1,3,2
192,D-VICJ,Mainline Airways,Boeing,777,10X,1,1,3,2
193,D-VINW,Mainline Airways,Boeing,787,8,1,1,3,2
194,D-VISR,Mainline Airways,Boeing,787,9,1,1,3,2
195,D-VJKC,Mainline Airways,Boeing,787,10,1,1,3,2
196,D-VJMV,Mainline Airways,Boeing,767,300ER,1,1,3,2
197,D-VJNP,Mainline Airways,Boeing,767,400ER,1,1,3,2
198,D-VJSI,Mainline Airways,Boeing,777,200,1,1,3,2
199,D-VJSQ,Mainline Airways,Airbus,A320,100,1,1,3,1
200,D-VKNE,Mainline Airways,Airbus,A320,200,1,1,3,1
201,D-VLOV,Mainline Airways,Airbus,A320,NEO,1,1,3,1
202,D-VLUU,Mainline Airways,Airbus,A321,100,1,1,3,1
203,D-VMAH,Mainline Airways,Airbus,A321,200,1,1,3,1
204,D-VMLI,Mainline Airways,Airbus,A321,NEO,1,1,3,1
205,D-VMOH,Mainline Airways,Airbus,A321,LR,1,1,3,1
206,D-VNVB,Mainline Airways,Airbus,A321,XLR,1,1,3,1
207,D-VOVQ,Mainline Airways,Airbus,A330,200,1,1,3,2
208,D-VPCB,Mainline Airways,Airbus,A330,300,1,1,3,2
209,D-VPHH,Mainline Airways,Airbus,A330,800,1,1,3,2
210,D-VQLD,Mainline Airways,Airbus,A330,900,1,1,3,2
211,D-VRGF,Mainline Airways,Airbus,A330,743L,1,1,3,2
212,D-VRVR,Mainline Airways,Airbus,A321,NEO,1,1,3,1
213,D-VSMF,Mainline Airways,Airbus,A321,LR,1,1,3,1
214,D-VTMT,Mainline Airways,Airbus,A321,XLR,1,1,3,1
215,D-VTPQ,Mainline Airways,Airbus,A330,200,1,1,3,2
216,D-VTRF,Mainline Airways,Airbus,A330,300,1,1,3,2
217,D-VTXA,Mainline Airways,Airbus,A330,800,1,1,3,2
218,D-VVXB,Mainline Airways,Airbus,A330,900,1,1,3,2
219,D-VWET,Mainline Airways,Airbus,A330,743L,1,1,3,2
220,D-VYHW,Mainline Airways,Airbus,A330,MRTT,1,1,3,2
221,D-VYPE,Mainline Airways,Airbus,A340,200,1,1,3,2
222,D-VYPM,Mainline Airways,Airbus,A340,300,1,1,3,2
223,D-VYVW,Mainline Airways,Airbus,A340,500,1,1,3,2
224,D-VYWT,Mainline Airways,Airbus,A340,600,1,1,3,2
225,D-VZUJ,Mainline Airways,Airbus,A350,900,1,1,3,2
226,D-VZXZ,Mainline Airways,Airbus,A350,1000,1,1,3,2
227,D-WAHX,Mainline Airways,Airbus,A380,800,1,1,3,3
228,D-WBWO,Mainline Airways,Airbus,A220,100,1,1,3,1
229,D-WBZJ,Mainline Airways,Airbus,A220,300,1,1,3,1
230,D-WCHC,Mainline Airways,Airbus,A300,600,1,1,3,2
231,D-WCRQ,Mainline Airways,Airbus,A300,600ST,1,1,3,2
232,D-WECA,Mainline Airways,Airbus,A310,200,1,1,3,2
233,D-WFEP,Mainline Airways,Airbus,A310,300,1,1,3,2
234,D-WFRM,Mainline Airways,Airbus,A310,MRTT,1,1,3,2
235,D-WGDN,Mainline Airways,Airbus,A318,100,1,1,3,1
236,D-WGWG,Mainline Airways,Airbus,A319,100,1,1,3,1
237,D-WHAS,Mainline Airways,Airbus,A319,NEO,1,1,3,1
238,D-WHOZ,Mainline Airways,Airbus,A320,100,1,1,3,1
239,D-WIJH,Mainline Airways,Airbus,A320,200,1,1,3,1
240,D-WIKL,Mainline Airways,Airbus,A320,NEO,1,1,3,1
241,D-WJCX,Mainline Airways,Airbus,A321,100,1,1,3,1
242,D-WJDB,Mainline Airways,Airbus,A321,200,1,1,3,1
243,D-WJHM,Mainline Airways,Airbus,A321,NEO,1,1,3,1
244,D-WJNK,Mainline Airways,Airbus,A321,LR,1,1,3,1
245,D-WLGW,Mainline Airways,Airbus,A321,XLR,1,1,3,1
246,D-WMFZ,Mainline Airways,Airbus,A330,200,1,1,3,2
247,D-WMOX,Mainline Airways,Airbus,A330,300,1,1,3,2
248,D-WNJC,Mainline Airways,Airbus,A330,800,1,1,3,2
249,D-WOFI,Mainline Airways,Airbus,A330,900,1,1,3,2
250,D-WOKF,Mainline Airways,Airbus,A330,743L,1,1,3,2
251,D-WONO,Mainline Airways,Airbus,A330,MRTT,1,1,3,2
252,D-WQMI,Mainline Airways,Airbus,A340,200,1,1,3,2
253,D-WQOS,Mainline Airways,Airbus,A340,300,1,1,3,2
254,D-WRWB,Mainline Airways,Airbus,A340,500,1,1,3,2
255,D-WSYC,Mainline Airways,Airbus,A340,600,1,1,3,2
256,D-WSZF,Mainline Airways,Airbus,A350,900,1,1,3,2
257,D-WTQB,Mainline Airways,Airbus,A350,1000,1,1,3,2
258,D-WTSP,Mainline Airways,Airbus,A380,800,1,1,3,3
259,D-WUIB,Mainline Airways,Airbus,A220,100,1,1,3,1
261,D-WUXP,Mainline Airways,Airbus,A300,600,1,1,3,2
262,D-WWEN,Mainline Airways,Airbus,A300,600ST,1,1,3,2
263,D-WXNN,Mainline Airways,Airbus,A310,200,1,1,3,2
264,D-WYNB,Mainline Airways,Airbus,A310,300,1,1,3,2
265,D-XAGX,Mainline Airways,Airbus,A310,MRTT,1,1,3,2
266,D-XAUW,Mainline Airways,Airbus,A318,100,1,1,3,1
267,D-XCKH,Mainline Airways,Airbus,A319,100,1,1,3,1
268,D-XESN,Mainline Airways,Airbus,A319,NEO,1,1,3,1
269,D-XFFM,Mainline Airways,Airbus,A320,100,1,1,3,1
270,D-XFIY,Mainline Airways,Airbus,A320,200,1,1,3,1
271,D-XFRX,Mainline Airways,Airbus,A320,NEO,1,1,3,1
272,D-XFSL,Mainline Airways,Airbus,A321,100,1,1,3,1
273,D-XHOK,Mainline Airways,Airbus,A321,200,1,1,3,1
274,D-XITR,Mainline Airways,Airbus,A321,NEO,1,1,3,1
275,D-XIZF,Mainline Airways,Airbus,A321,LR,1,1,3,1
276,D-XJCE,Mainline Airways,Airbus,A321,XLR,1,1,3,1
277,D-XKOI,Mainline Airways,Airbus,A330,200,1,1,3,2
278,D-XKZN,Mainline Airways,Airbus,A330,300,1,1,3,2
279,D-XMBV,Mainline Airways,Airbus,A330,800,1,1,3,2
280,D-XMMJ,Mainline Airways,Airbus,A330,900,1,1,3,2
281,D-XNMC,Mainline Airways,Airbus,A330,743L,1,1,3,2
282,D-XNRR,Mainline Airways,Airbus,A330,MRTT,1,1,3,2
283,D-XPEQ,Mainline Airways,Airbus,A340,200,1,1,3,2
284,D-XPIQ,Mainline Airways,Airbus,A340,300,1,1,3,2
285,D-XPJI,Mainline Airways,Airbus,A340,500,1,1,3,2
286,D-XPMT,Mainline Airways,Airbus,A340,600,1,1,3,2
287,D-XQIO,Mainline Airways,Airbus,A350,900,1,1,3,2
288,D-XRBF,Mainline Airways,Airbus,A350,1000,1,1,3,2
289,D-XRKL,Mainline Airways,Airbus,A380,800,1,1,3,3
290,D-XRLI,Mainline Airways,Airbus,A220,100,1,1,3,1
291,D-XRXE,Mainline Airways,Airbus,A220,300,1,1,3,1
292,D-XSJJ,Mainline Airways,Airbus,A300,600,1,1,3,2
293,D-XSWH,Mainline Airways,Airbus,A300,600ST,1,1,3,2
294,D-XTKC,Mainline Airways,Airbus,A310,200,1,1,3,2
295,D-XUAC,Mainline Airways,Airbus,A310,300,1,1,3,2
296,D-XUDW,Mainline Airways,Airbus,A310,MRTT,1,1,3,2
297,D-XUXK,Mainline Airways,Airbus,A318,100,1,1,3,1
298,D-XYDQ,Mainline Airways,Airbus,A319,100,1,1,3,1
299,D-XYOL,Mainline Airways,Boeing,707, ,1,1,3,2
300,D-XZGB,Mainline Airways,Boeing,717,200,1,1,3,1
301,D-XZKB,Mainline Airways,Boeing,720, ,1,1,3,1
302,D-YAAU,Mainline Airways,Boeing,727,100,0,1,3,1
303,D-YBHV,Mainline Airways,Boeing,727,200,1,1,3,1
304,D-YBNY,Mainline Airways,Boeing,737,100,1,1,3,1
305,D-YBUL,Mainline Airways,Boeing,737,200,1,1,3,1
306,D-YCAH,Mainline Airways,Boeing,737,300,1,1,3,1
307,D-YCLH,Mainline Airways,Boeing,737,400,1,1,3,1
308,D-YDFS,Mainline Airways,Boeing,737,500,1,1,3,1
309,D-YDIV,Mainline Airways,Boeing,737,600,1,1,3,1
310,D-YDYV,Mainline Airways,Boeing,737,700,1,1,3,1
311,D-YEVO,Mainline Airways,Boeing,737,700ER,1,1,3,1
312,D-YGRW,Mainline Airways,Boeing,737,800,1,1,3,1
313,D-YGVP,Mainline Airways,Boeing,737,900,1,1,3,1
314,D-YHJF,Mainline Airways,Boeing,737,900ER,1,1,3,1
315,D-YHLH,Mainline Airways,Boeing,737,7,1,1,3,1
316,D-YJAJ,Mainline Airways,Boeing,737,8,1,1,3,1
317,D-YJQS,Mainline Airways,Boeing,737,200,1,1,3,1
318,D-YJTJ,Mainline Airways,Boeing,737,9,1,1,3,1
319,D-YJYO,Mainline Airways,Boeing,737,10,1,1,3,1
320,D-YKBD,Mainline Airways,Boeing,747,100,1,1,3,2
321,D-YKKK,Mainline Airways,Boeing,747,200,1,1,3,2
322,D-YLKU,Mainline Airways,Boeing,747,SP,1,1,3,2
323,D-YLYT,Mainline Airways,Boeing,747,300,1,1,3,2
324,D-YNAU,Mainline Airways,Boeing,747,400,1,1,3,2
325,D-YNXQ,Mainline Airways,Boeing,747,8,1,1,3,2
326,D-YOJE,Mainline Airways,Boeing,757,200,1,1,3,1
327,D-YOMT,Mainline Airways,Boeing,757,300,1,1,3,1
328,D-YPLW,Mainline Airways,Boeing,767,200,1,1,3,2
329,D-YPML,Mainline Airways,Boeing,767,200ER,1,1,3,2
330,D-YPQN,Mainline Airways,Boeing,767,300,1,1,3,2
331,D-YPVK,Mainline Airways,Boeing,767,300ER,1,1,3,2
332,D-YQEH,Mainline Airways,Boeing,767,400ER,1,1,3,2
333,D-YQLV,Mainline Airways,Boeing,777,200,1,1,3,2
334,D-YQUV,Mainline Airways,Boeing,777,200ER,1,1,3,2
335,D-YQVF,Mainline Airways,Boeing,777,300,1,1,3,2
336,D-YQVX,Mainline Airways,Boeing,777,8,1,1,3,2
337,D-YRRD,Mainline Airways,Boeing,777,9,1,1,3,2
338,D-YSGU,Mainline Airways,Boeing,777,10X,1,1,3,2
339,D-YTHQ,Mainline Airways,Boeing,787,8,1,1,3,2
340,D-YTTJ,Mainline Airways,Boeing,787,9,1,1,3,2
341,D-YUMP,Mainline Airways,Boeing,787,10,1,1,3,2
342,D-YUYC,Mainline Airways,Boeing,767,300ER,1,1,3,2
343,D-YVHD,Mainline Airways,Boeing,767,400ER,1,1,3,2
344,D-YVNL,Mainline Airways,Boeing,777,200,1,1,3,2
345,D-YYHW,Mainline Airways,Boeing,777,200ER,1,1,3,2
346,D-YYZC,Mainline Airways,Boeing,777,300,1,1,3,2
347,D-YZMW,Mainline Airways,Boeing,777,8,1,1,3,2
348,D-YZPP,Mainline Airways,Boeing,777,9,1,1,3,2
349,D-YZUA,Mainline Airways,Boeing,777,10X,1,1,3,2
350,D-YZUE,Mainline Airways,Boeing,787,8,1,1,3,2
351,D-ZAVK,Mainline Airways,Boeing,787,9,1,1,3,2
352,D-ZAWR,Mainline Airways,Boeing,787,10,1,1,3,2
353,D-ZBNV,Mainline Airways,Boeing,707, ,1,1,3,2
354,D-ZCDX,Mainline Airways,Boeing,717,200,1,1,3,1
355,D-ZCQR,Mainline Airways,Boeing,720, ,1,1,3,1
356,D-ZCTM,Mainline Airways,Boeing,727,100,1,1,3,1
357,D-ZEDJ,Mainline Airways,Boeing,727,200,1,1,3,1
358,D-ZEET,Mainline Airways,Boeing,737,100,1,1,3,1
359,D-ZEUC,Mainline Airways,Boeing,737,200,1,1,3,1
360,D-ZFWT,Mainline Airways,Boeing,737,300,1,1,3,1
361,D-ZHJD,Mainline Airways,Boeing,737,400,1,1,3,1
362,D-ZHMR,Mainline Airways,Boeing,737,500,1,1,3,1
363,D-ZHQM,Mainline Airways,Boeing,737,600,1,1,3,1
364,D-ZIAI,Mainline Airways,Boeing,737,700,1,1,3,1
365,D-ZIKO,Mainline Airways,Boeing,737,700ER,1,1,3,1
366,D-ZIPV,Mainline Airways,Boeing,737,800,1,1,3,1
367,D-ZIRG,Mainline Airways,Boeing,737,900,1,1,3,1
368,D-ZIXD,Mainline Airways,Boeing,737,900ER,1,1,3,1
369,D-ZJBD,Mainline Airways,Boeing,737,7,1,1,3,1
370,D-ZJFZ,Mainline Airways,Boeing,737,8,1,1,3,1
371,D-ZJIZ,Mainline Airways,Boeing,737,200,1,1,3,1
372,D-ZJLF,Mainline Airways,Boeing,737,9,1,1,3,1
373,D-ZJTB,Mainline Airways,Boeing,737,10,1,1,3,1
374,D-ZKUW,Mainline Airways,Boeing,747,100,1,1,3,2
375,D-ZLRB,Mainline Airways,Boeing,747,200,1,1,3,2
376,D-ZLRO,Mainline Airways,Boeing,747,SP,1,1,3,2
377,D-ZNAX,Mainline Airways,Boeing,747,300,1,1,3,2
378,D-ZNUW,Mainline Airways,Boeing,747,400,1,1,3,2
379,D-ZOPJ,Mainline Airways,Boeing,747,8,1,1,3,2
380,D-ZOWE,Mainline Airways,Boeing,757,200,1,1,3,1
381,D-ZPDE,Mainline Airways,Boeing,757,300,1,1,3,1
382,D-ZPMO,Mainline Airways,Boeing,767,200,1,1,3,2
383,D-ZPSM,Mainline Airways,Boeing,767,200ER,1,1,3,2
384,D-ZPYK,Mainline Airways,Boeing,767,300,1,1,3,2
385,D-ZQCQ,Mainline Airways,Boeing,767,300ER,1,1,3,2
386,D-ZSNL,Mainline Airways,Boeing,767,400ER,1,1,3,2
387,D-ZSRU,Mainline Airways,Boeing,777,200,1,1,3,2
388,D-ZVIF,Mainline Airways,Boeing,777,200ER,1,1,3,2
389,D-ZVMF,Mainline Airways,Boeing,777,300,1,1,3,2
390,D-ZWFC,Mainline Airways,Boeing,777,8,1,1,3,2
391,D-ZXAF,Mainline Airways,Boeing,777,9,1,1,3,2
